$ [qin_kol001_seg002_sub002] [2015 - 2048],
$ [qin_kol001_seg002_sub002],
JDAY,Q (M3/S)
456,2.4142
457,2.3743
458,2.3344
459,2.2945
460,2.2562
461,2.2179
462,2.1812
463,2.1445
464,2.1078
465,2.0727
466,2.0376
467,2.0041
468,1.9706
469,1.9371
470,1.9243
471,1.8924
472,1.8605
473,1.8302
474,1.7982
475,1.7679
476,1.7392
477,1.7105
478,1.6818
479,1.653
480,1.6259
481,1.5988
482,1.5717
483,1.5445
484,1.5924
485,1.5653
486,1.5398
487,1.5142
488,1.4887
489,1.4632
490,1.4392
491,1.4153
492,1.3914
493,1.3674
494,1.3451
495,1.3228
496,1.3004
497,1.2797
498,1.2573
499,1.2366
500,1.2159
501,1.1951
502,1.176
503,1.1568
504,1.1377
505,1.1185
506,1.0994
507,1.0818
508,1.0627
509,1.0451
510,1.0276
511,1.0116
512,0.9941
513,0.9781
514,0.9622
515,0.9462
516,0.9302
517,0.9143
518,0.8999
519,0.884
520,0.8696
521,0.8552
522,0.8409
523,0.8281
524,0.8138
525,0.801
526,0.7866
527,0.7739
528,0.7611
529,0.7483
530,0.7372
531,0.7244
532,0.7132
533,0.7005
534,0.6893
535,0.6781
536,0.667
537,0.6558
538,0.6446
539,0.6351
540,0.6239
541,0.6143
542,0.6047
543,0.5936
544,0.584
545,0.5744
546,0.5664
547,0.5569
548,0.5473
549,0.5377
550,0.5297
551,0.5218
552,0.5122
553,0.5042
554,0.4962
555,0.4883
556,0.4803
557,0.4723
558,0.4643
559,0.4579
560,0.45
561,0.4436
562,0.4356
563,0.4292
564,0.4212
565,0.4149
566,0.4085
567,0.4021
568,0.3957
569,0.3893
570,0.3829
571,0.3766
572,0.3702
573,0.3654
574,0.359
575,0.3526
576,0.3478
577,0.3431
578,0.3367
579,0.3319
580,0.3271
581,0.3207
582,0.3159
583,0.3111
584,0.3064
585,0.3016
586,0.2968
587,0.292
588,0.2872
589,0.2824
590,0.2792
591,0.2744
592,0.2697
593,0.2665
594,0.2617
595,0.2585
596,0.2537
597,0.2505
598,0.2457
599,0.2425
600,0.2377
601,0.2346
602,0.2314
603,0.2282
604,0.225
605,0.2202
606,0.217
607,0.2138
608,0.2106
609,0.2074
610,0.2042
611,0.201
612,0.1995
613,0.1963
614,0.1931
615,0.1899
616,0.1867
617,0.1851
618,0.1819
619,0.1787
620,0.1755
621,0.1739
622,0.1707
623,0.1691
624,0.1659
625,0.1643
626,0.1612
627,0.1596
628,0.1564
629,0.1548
630,0.1516
631,0.15
632,0.1484
633,0.1452
634,0.1436
635,0.142
636,0.1404
637,0.1372
638,0.1356
639,0.134
640,0.1324
641,0.1308
642,0.1276
643,0.1261
644,0.1245
645,0.1229
646,0.1213
647,0.1197
648,0.1181
649,0.1165
650,0.1149
651,0.1133
652,0.1117
653,0.1101
654,0.1085
655,0.1069
656,0.1069
657,0.1053
658,0.1037
659,0.1021
660,0.1005
661,0.0989
662,0.0973
663,0.0973
664,0.0957
665,0.0941
666,0.0925
667,0.0925
668,0.0909
669,0.0894
670,0.0894
671,0.0878
672,0.0862
673,0.0846
674,0.0846
675,0.083
676,0.083
677,0.0814
678,0.0798
679,0.0798
680,0.0782
681,0.0782
682,0.0766
683,0.075
684,0.075
685,0.0734
686,0.0734
687,0.0718
688,0.0718
689,0.0766
690,0.0702
691,0.0686
692,0.0686
693,0.067
694,0.067
695,0.0654
696,0.0654
697,0.0654
698,0.0638
699,0.0638
700,0.0622
701,0.0622
702,0.0606
703,0.0606
704,0.0606
705,0.059
706,0.059
707,0.0574
708,0.0574
709,0.0574
710,0.0606
711,0.0686
712,0.0558
713,0.059
714,0.2202
715,0.217
716,0.2138
717,0.2106
718,0.2074
719,0.2042
720,0.201
721,0.1979
722,0.1947
723,0.1931
724,0.1899
725,0.1867
726,0.1835
727,0.1819
728,0.1787
729,0.1755
730,0.1739
731,0.1707
732,0.1691
733,0.1659
734,0.1628
735,0.1612
736,0.1596
737,1.0212
738,0.7675
739,0.9622
740,0.9462
741,0.9302
742,0.9159
743,0.8999
744,0.8856
745,0.8712
746,0.8568
747,0.8473
748,0.9622
749,1.803
750,11.0592
751,2.3503
752,2.3104
753,2.2721
754,2.2339
755,2.1972
756,2.1589
757,2.1238
758,2.0871
759,2.052
760,2.0184
761,1.9833
762,1.9514
763,1.9163
764,1.8844
765,1.8525
766,1.8254
767,2.0105
768,7.0941
769,6.3186
770,3.3843
771,3.3827
772,3.3252
773,3.2694
774,3.2136
775,3.1593
776,3.1066
777,3.054
778,3.0029
779,2.9519
780,2.9024
781,2.8529
782,2.8194
783,2.7716
784,2.7253
785,2.8466
786,2.8147
787,2.7668
788,2.7205
789,2.6742
790,2.6296
791,2.6312
792,2.5865
793,2.5434
794,2.5003
795,2.5099
796,2.7333
797,2.687
798,2.6423
799,2.5976
800,2.553
801,2.5099
802,2.5961
803,2.6024
804,2.5689
805,2.7939
806,2.8577
807,2.8896
808,2.8418
809,2.829
810,2.8067
811,2.7604
812,2.7285
813,2.6822
814,2.6375
815,2.5929
816,2.5498
817,2.5067
818,2.4652
819,2.4237
820,2.3822
821,2.3424
822,2.3025
823,2.2642
824,2.2259
825,2.1892
826,2.1509
827,2.1158
828,2.0791
829,2.0456
830,2.044
831,2.0759
832,2.1317
833,2.0998
834,2.0647
835,2.0296
836,1.9961
837,1.9897
838,1.9578
839,1.9243
840,1.9578
841,1.9243
842,1.8956
843,1.8637
844,1.8429
845,1.9387
846,1.9259
847,1.8988
848,1.8669
849,1.8349
850,1.8046
851,1.7743
852,1.744
853,1.7153
854,1.6866
855,1.6578
856,1.6307
857,1.602
858,1.5765
859,1.5493
860,1.5238
861,1.4983
862,1.4727
863,1.4488
864,1.4233
865,1.4009
866,1.377
867,1.3531
868,1.3307
869,1.3084
870,1.2877
871,1.2653
872,1.2446
873,1.2238
874,1.2031
875,1.1839
876,1.1632
877,1.1441
878,1.1249
879,1.1074
880,1.0882
881,1.0707
882,1.0515
883,1.0355
884,1.018
885,1.0004
886,0.9845
887,0.9685
888,0.951
889,0.9366
890,0.9207
891,0.9047
892,0.8903
893,0.876
894,0.8616
895,0.8473
896,0.8329
897,0.8185
898,0.8058
899,0.793
900,0.7787
901,0.7659
902,0.7531
903,0.742
904,0.7292
905,0.7164
906,0.7053
907,0.6941
908,0.6829
909,0.6718
910,0.6606
911,0.6494
912,0.6382
913,0.6287
914,0.6175
915,0.6079
916,0.5984
917,0.5888
918,0.5792
919,0.5696
920,0.5601
921,0.5505
922,0.5425
923,0.5329
924,0.525
925,0.5154
926,0.5074
927,0.4994
928,0.4914
929,0.4835
930,0.4755
931,0.4675
932,0.4595
933,0.4532
934,0.4452
935,0.4388
936,0.4308
937,0.4244
938,0.418
939,0.4101
940,0.4037
941,0.3973
942,0.3909
943,0.3845
944,0.3798
945,0.3734
946,0.367
947,0.3606
948,0.3558
949,0.3494
950,0.3447
951,0.3383
952,0.3335
953,0.3287
954,0.3239
955,0.3175
956,0.3127
957,0.308
958,0.3032
959,0.2984
960,0.2936
961,0.2888
962,0.284
963,0.2808
964,0.276
965,0.2713
966,0.2681
967,0.2633
968,0.2601
969,0.2553
970,0.2521
971,0.2473
972,0.2441
973,0.2393
974,0.2361
975,0.233
976,0.2298
977,0.225
978,0.2218
979,0.2186
980,0.2154
981,0.2122
982,0.209
983,0.2058
984,0.2026
985,0.1995
986,0.1963
987,0.1931
988,0.1915
989,0.1883
990,0.1851
991,0.1819
992,0.1803
993,0.1771
994,0.1739
995,0.1723
996,0.1691
997,0.1675
998,0.1643
999,0.1628
1000,0.1596
1001,0.158
1002,0.1548
1003,0.1532
1004,0.1516
1005,0.1484
1006,0.1468
1007,0.1452
1008,0.142
1009,0.1404
1010,0.1388
1011,0.1372
1012,0.134
1013,0.1324
1014,0.1308
1015,0.1292
1016,0.1276
1017,0.1261
1018,0.1245
1019,0.1229
1020,0.1197
1021,0.1181
1022,0.1165
1023,0.1149
1024,0.1133
1025,0.1133
1026,0.1117
1027,0.1101
1028,0.1085
1029,0.1069
1030,0.1053
1031,0.1037
1032,0.1021
1033,0.1005
1034,0.1005
1035,0.0989
1036,0.0973
1037,0.0957
1038,0.0941
1039,0.0941
1040,0.0925
1041,0.0909
1042,0.0894
1043,0.0894
1044,0.0878
1045,0.0862
1046,0.0862
1047,0.0846
1048,0.083
1049,0.083
